ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
154,R_1IzO435xW99Isoc,2017/06/13 11:26:00,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
155,R_1j6TNDIJxAV4KI1,2017/06/13 21:59:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
156,R_1j6vNJBpWeM2b3J,2018/06/26 08:57:00,1,3,Neutral,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
157,R_1JCHn8LoYdklezt,2017/06/13 12:37:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
158,R_1JEnh2rawZn36vi,2017/06/13 12:20:59,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
159,R_1jeq9mdtksFIJuI,2018/06/26 12:58:00,1,2,Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
160,R_1JFRkacCmMhmHXP,2017/06/13 19:50:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
161,R_1jfWdWPstwGO7R1,2016/08/31 08:18:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
162,R_1jIgFYTBpsB6rFK,2017/06/22 23:22:00,1,1,Very Satisfied,Adaptive Adult,1,,2017/06/30 00:00:00,FY 2017
163,R_1jjjp5psWq1G1UH,2017/06/13 12:13:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
164,R_1JJkwgN3yMtWTmE,2016/09/13 19:12:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
165,R_1jjmnGRqq6SzZXC,2018/06/27 12:52:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
166,R_1JKfG5s4FBdmVZU,2018/05/30 14:51:59,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
167,R_1jMVSh8Mf3JjTDb,2018/06/26 11:00:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
168,R_1JPzlCWuIn7TRi1,2017/06/14 11:48:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
